pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,3,0.7538,1.2665
1E-5O,1,5,33,8.2915,9.1185
2E-4O,2,4,98,24.6231,24.9674
3E-3O,3,3,136,34.1709,33.2899
4E-2O,4,2,92,23.1156,22.7964
5E-1O,5,1,31,7.7889,7.5988
6E-0O,6,0,5,1.2563,0.9625
