draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
57,SL49,2024-05-07,21:00,06-07-18-24-27-40,122,20.333,6,40,34,4,2,4,2,6,1,1
58,SL49,2024-05-09,21:00,04-06-09-10-13-39,81,13.5,4,39,35,3,3,5,1,6,1,1
59,SL49,2024-05-12,21:00,10-18-29-36-41-46,180,30,10,46,36,4,2,2,4,6,0,1
60,SL49,2024-05-14,21:00,04-16-25-28-38-47,158,26.333,4,47,43,4,2,3,3,6,0,0
61,SL49,2024-05-16,21:00,04-05-15-27-30-49,130,21.667,4,49,45,2,4,3,3,6,1,1
62,SL49,2024-05-19,21:00,16-17-18-37-44-45,177,29.5,16,45,29,3,3,3,3,6,3,0
63,SL49,2024-05-21,21:00,19-31-37-41-47-49,224,37.333,19,49,30,0,6,1,5,6,0,1
64,SL49,2024-05-23,21:00,07-10-12-22-24-33,108,18,7,33,26,4,2,5,1,6,0,0
65,SL49,2024-05-26,21:00,01-34-39-43-46-49,212,35.333,1,49,48,2,4,1,5,6,0,0
66,SL49,2024-05-28,21:00,14-15-23-30-35-45,162,27,14,45,31,2,4,3,3,6,1,0
67,SL49,2024-05-30,21:00,15-27-29-34-46-47,198,33,15,47,32,2,4,1,5,6,1,1
68,SL49,2024-06-02,21:00,08-15-17-29-40-41,150,25,8,41,33,2,4,3,3,6,1,2
69,SL49,2024-06-04,21:00,04-09-21-28-29-34,125,20.833,4,34,30,3,3,3,3,6,1,1
70,SL49,2024-06-06,21:00,03-13-18-27-30-35,126,21,3,35,32,2,4,3,3,6,0,0
71,SL49,2024-06-09,21:00,10-13-17-19-41-46,146,24.333,10,46,36,2,4,4,2,6,0,1
72,SL49,2024-06-11,21:00,03-13-14-35-40-46,151,25.167,3,46,43,3,3,3,3,6,1,2
73,SL49,2024-06-13,21:00,03-11-13-17-26-33,103,17.167,3,33,30,1,5,4,2,6,0,2
74,SL49,2024-06-16,21:00,04-11-27-28-41-43,154,25.667,4,43,39,2,4,2,4,6,1,1
75,SL49,2024-06-18,21:00,13-20-32-34-44-47,190,31.667,13,47,34,4,2,2,4,6,0,0
76,SL49,2024-06-20,21:00,01-03-12-18-36-42,112,18.667,1,42,41,4,2,4,2,6,0,0
77,SL49,2024-06-23,21:00,01-07-24-28-39-48,147,24.5,1,48,47,3,3,3,3,6,0,1
78,SL49,2024-06-25,21:00,01-22-32-38-45-47,185,30.833,1,47,46,3,3,2,4,6,0,1
79,SL49,2024-06-27,21:00,08-14-21-37-39-44,163,27.167,8,44,36,3,3,3,3,6,0,0
