draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw,shared_distinct_values_with_previous_draw,exact_position_repeats_with_previous_draw
1,SL49,2026-07-26,21:00,04-05-10-13-14-19,65,10.833,4,19,15,3,3,6,0,6,2,,,
2,SL49,2026-07-28,21:00,05-13-15-21-37-40,131,21.833,5,40,35,1,5,4,2,6,0,2,2,
3,SL49,2026-07-30,21:00,01-02-25-36-44-47,155,25.833,1,47,46,3,3,3,3,6,1,0,0,
4,SL49,2026-08-02,21:00,01-07-16-23-35-37,119,19.833,1,37,36,1,5,4,2,6,0,1,1,
5,SL49,2026-08-04,21:00,11-12-20-26-36-44,149,24.833,11,44,33,5,1,3,3,6,1,0,0,
