pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.2665
1E-5O,1,5,2,40.0,9.1185
2E-4O,2,4,0,0.0,24.9674
3E-3O,3,3,2,40.0,33.2899
4E-2O,4,2,0,0.0,22.7964
5E-1O,5,1,1,20.0,7.5988
6E-0O,6,0,0,0.0,0.9625
