draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw,shared_distinct_values_with_previous_draw,exact_position_repeats_with_previous_draw
1,GL55,2026-07-27,21:00,06-42-46-49-53-55,251,41.833,6,55,49,3,3,1,5,6,0,,,
2,GL55,2026-07-29,21:00,04-09-14-23-33-46,129,21.5,4,46,42,3,3,4,2,6,0,1,1,
3,GL55,2026-08-01,21:00,28-38-44-48-49-54,261,43.5,28,54,26,5,1,1,5,6,1,0,0,
4,GL55,2026-08-03,21:00,02-05-17-34-44-53,155,25.833,2,53,51,3,3,3,3,6,0,1,1,
5,GL55,2026-08-05,21:00,20-26-39-40-41-42,208,34.667,20,42,22,4,2,2,4,6,3,0,0,
