pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.1736
1E-5O,1,5,0,0.0,8.5086
2E-4O,2,4,2,40.0,23.8241
3E-3O,3,3,1,20.0,32.9873
4E-2O,4,2,2,40.0,23.8241
5E-1O,5,1,0,0.0,8.5086
6E-0O,6,0,0,0.0,1.1736
