rambolito_key,straight_permutations,draw_count,first_seen,last_seen
0147,24,1,2026-07-31,2026-07-31
1599,12,1,2026-07-27,2026-07-27
1899,12,1,2026-08-03,2026-08-03
2488,12,1,2026-08-05,2026-08-05
4679,24,1,2026-07-29,2026-07-29
