pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.2394
1E-5O,1,5,0,0.0,9.0887
2E-4O,2,4,1,20.0,25.1134
3E-3O,3,3,2,40.0,33.4846
4E-2O,4,2,2,40.0,22.7217
5E-1O,5,1,0,0.0,7.4362
6E-0O,6,0,0,0.0,0.9161
