number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
0,0,1,6.6667,1,20.0,1.5,-0.5,-0.43,True,2,2,,,,2026-08-05,4,Middle
1,1,0,0.0,0,0.0,1.5,-1.5,-1.291,False,,,,,,,9,Sample cold
2,2,4,26.6667,4,80.0,1.5,2.5,2.152,True,0,0,0.333,0,1,2026-08-05,1,Sample hot
3,3,1,6.6667,1,20.0,1.5,-0.5,-0.43,True,3,3,,,,2026-08-04,5,Middle
4,4,1,6.6667,1,20.0,1.5,-0.5,-0.43,True,4,4,,,,2026-08-04,6,Middle
5,5,1,6.6667,1,20.0,1.5,-0.5,-0.43,True,1,1,,,,2026-08-05,7,Middle
6,6,3,20.0,3,60.0,1.5,1.5,1.291,True,1,1,0.5,0.5,1,2026-08-05,2,Middle
7,7,1,6.6667,1,20.0,1.5,-0.5,-0.43,True,0,0,,,,2026-08-05,8,Middle
8,8,3,20.0,3,60.0,1.5,1.5,1.291,True,0,0,0.5,0.5,1,2026-08-05,3,Middle
9,9,0,0.0,0,0.0,1.5,-1.5,-1.291,False,,,,,,,10,Sample cold
