rambolito_key,straight_permutations,draw_count,first_seen,last_seen
068,6,1,2026-08-05,2026-08-05
238,6,1,2026-08-04,2026-08-04
246,6,1,2026-08-04,2026-08-04
256,6,1,2026-08-05,2026-08-05
278,6,1,2026-08-05,2026-08-05
