draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw,shared_distinct_values_with_previous_draw,exact_position_repeats_with_previous_draw
1,3DL-5PM,2026-08-04,17:00,246,12,4,2,6,4,3,0,2,1,3,0,,,
2,3DL-9PM,2026-08-04,21:00,382,13,4.333,2,8,6,2,1,2,1,3,0,1,1,0
3,3DL-2PM,2026-08-05,14:00,806,14,4.667,0,8,8,3,0,1,2,3,0,1,1,0
4,3DL-5PM,2026-08-05,17:00,562,13,4.333,2,6,4,2,1,1,2,3,1,1,1,0
5,3DL-9PM,2026-08-05,21:00,728,17,5.667,2,8,6,2,1,1,2,3,0,1,1,0
