pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-3O,0,3,0,0.0,12.5
1E-2O,1,2,0,0.0,37.5
2E-1O,2,1,3,60.0,37.5
3E-0O,3,0,2,40.0,12.5
