draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
194,UL58,2025-04-08,21:00,02-12-32-34-37-48,165,27.5,2,48,46,5,1,2,4,6,0,1
195,UL58,2025-04-11,21:00,11-14-38-40-48-56,207,34.5,11,56,45,5,1,2,4,6,0,1
196,UL58,2025-04-13,21:00,06-12-23-36-38-47,162,27,6,47,41,4,2,3,3,6,0,1
197,UL58,2025-04-15,21:00,03-07-13-14-27-33,97,16.167,3,33,30,1,5,5,1,6,1,0
198,UL58,2025-04-20,21:00,11-19-20-35-37-53,175,29.167,11,53,42,1,5,3,3,6,1,0
199,UL58,2025-04-22,21:00,04-05-22-32-40-45,148,24.667,4,45,41,4,2,3,3,6,1,0
200,UL58,2025-04-25,21:00,08-09-22-44-47-53,183,30.5,8,53,45,3,3,3,3,6,1,1
201,UL58,2025-04-27,21:00,02-08-17-19-28-55,129,21.5,2,55,53,3,3,5,1,6,0,1
202,UL58,2025-04-29,21:00,05-10-11-25-39-45,135,22.5,5,45,40,1,5,4,2,6,1,0
203,UL58,2025-05-02,21:00,08-11-16-20-30-57,142,23.667,8,57,49,4,2,4,2,6,0,1
204,UL58,2025-05-04,21:00,13-22-23-25-40-58,181,30.167,13,58,45,3,3,4,2,6,1,0
205,UL58,2025-05-06,21:00,06-20-30-40-49-54,199,33.167,6,54,48,5,1,2,4,6,0,1
206,UL58,2025-05-09,21:00,04-14-36-40-43-54,191,31.833,4,54,50,5,1,2,4,6,0,2
207,UL58,2025-05-11,21:00,10-13-24-30-34-51,162,27,10,51,41,4,2,3,3,6,0,0
208,UL58,2025-05-13,21:00,07-09-14-41-46-51,168,28,7,51,44,2,4,3,3,6,0,1
209,UL58,2025-05-16,21:00,20-24-27-36-46-53,206,34.333,20,53,33,4,2,3,3,6,0,1
210,UL58,2025-05-18,21:00,11-34-46-49-50-53,243,40.5,11,53,42,3,3,1,5,6,1,2
211,UL58,2025-05-20,21:00,17-21-28-29-38-52,185,30.833,17,52,35,3,3,4,2,6,1,0
212,UL58,2025-05-23,21:00,06-18-20-42-43-52,181,30.167,6,52,46,5,1,3,3,6,1,1
213,UL58,2025-05-25,21:00,13-18-24-47-51-57,210,35,13,57,44,2,4,3,3,6,0,1
214,UL58,2025-05-27,21:00,06-34-41-42-55-57,235,39.167,6,57,51,3,3,1,5,6,1,1
215,UL58,2025-05-30,21:00,12-18-19-29-35-43,156,26,12,43,31,2,4,4,2,6,1,0
216,UL58,2025-06-01,21:00,02-17-20-28-33-49,149,24.833,2,49,47,3,3,4,2,6,0,0
217,UL58,2025-06-03,21:00,02-18-19-26-28-41,134,22.333,2,41,39,4,2,5,1,6,1,2
218,UL58,2025-06-06,21:00,06-10-12-29-33-57,147,24.5,6,57,51,3,3,4,2,6,0,0
219,UL58,2025-06-08,21:00,04-23-28-38-39-49,181,30.167,4,49,45,3,3,3,3,6,1,0
220,UL58,2025-06-10,21:00,01-08-31-32-43-47,162,27,1,47,46,2,4,2,4,6,1,0
221,UL58,2025-06-13,21:00,05-12-23-39-50-57,186,31,5,57,52,2,4,3,3,6,0,0
222,UL58,2025-06-15,21:00,02-18-28-43-50-52,193,32.167,2,52,50,5,1,3,3,6,0,1
223,UL58,2025-06-17,21:00,01-09-11-19-44-45,129,21.5,1,45,44,1,5,4,2,6,1,0
224,UL58,2025-06-20,21:00,20-22-23-27-38-51,181,30.167,20,51,31,3,3,4,2,6,1,0
225,UL58,2025-06-22,21:00,07-15-23-34-54-58,191,31.833,7,58,51,3,3,3,3,6,0,1
226,UL58,2025-06-24,21:00,03-12-20-23-30-31,119,19.833,3,31,28,3,3,4,2,6,1,1
227,UL58,2025-06-27,21:00,01-09-15-23-39-57,144,24,1,57,56,0,6,4,2,6,0,1
228,UL58,2025-06-29,21:00,14-17-22-29-34-36,152,25.333,14,36,22,4,2,4,2,6,0,0
229,UL58,2025-07-01,21:00,24-34-36-37-41-48,220,36.667,24,48,24,4,2,1,5,6,1,2
230,UL58,2025-07-04,21:00,15-16-41-42-47-57,218,36.333,15,57,42,2,4,2,4,6,2,1
231,UL58,2025-07-06,21:00,04-14-15-16-23-35,107,17.833,4,35,31,3,3,5,1,6,2,2
232,UL58,2025-07-08,21:00,07-24-27-30-33-52,173,28.833,7,52,45,3,3,3,3,6,0,0
233,UL58,2025-07-11,21:00,12-24-25-29-38-41,169,28.167,12,41,29,3,3,4,2,6,1,1
234,UL58,2025-07-13,21:00,12-17-18-33-41-57,178,29.667,12,57,45,2,4,3,3,6,1,2
235,UL58,2025-07-15,21:00,08-16-22-36-38-41,161,26.833,8,41,33,5,1,3,3,6,0,1
236,UL58,2025-07-18,21:00,01-12-16-19-46-54,148,24.667,1,54,53,4,2,4,2,6,0,1
237,UL58,2025-07-20,21:00,09-20-23-32-39-44,167,27.833,9,44,35,3,3,3,3,6,0,0
238,UL58,2025-07-22,21:00,18-27-39-42-49-52,227,37.833,18,52,34,3,3,2,4,6,0,1
239,UL58,2025-07-25,21:00,05-19-30-43-50-51,198,33,5,51,46,2,4,2,4,6,1,0
240,UL58,2025-07-27,21:00,23-38-39-40-42-50,232,38.667,23,50,27,4,2,1,5,6,2,1
241,UL58,2025-07-29,21:00,05-07-18-28-32-48,138,23,5,48,43,4,2,4,2,6,0,0
242,UL58,2025-08-01,21:00,03-07-10-13-15-44,92,15.333,3,44,41,2,4,5,1,6,0,1
243,UL58,2025-08-03,21:00,12-17-37-44-45-46,201,33.5,12,46,34,3,3,2,4,6,2,1
244,UL58,2025-08-05,21:00,21-22-37-39-48-50,217,36.167,21,50,29,3,3,2,4,6,1,1
245,UL58,2025-08-08,21:00,04-06-15-41-43-52,161,26.833,4,52,48,3,3,3,3,6,0,0
246,UL58,2025-08-10,21:00,03-13-15-30-47-57,165,27.5,3,57,54,1,5,3,3,6,0,1
247,UL58,2025-08-12,21:00,14-22-33-39-50-57,215,35.833,14,57,43,3,3,2,4,6,0,1
248,UL58,2025-08-15,21:00,04-05-07-24-34-47,121,20.167,4,47,43,3,3,4,2,6,1,0
249,UL58,2025-08-17,21:00,02-17-26-28-54-57,184,30.667,2,57,55,4,2,4,2,6,0,0
250,UL58,2025-08-19,21:00,07-15-29-40-43-52,186,31,7,52,45,2,4,3,3,6,0,0
251,UL58,2025-08-22,21:00,01-16-27-34-44-57,179,29.833,1,57,56,3,3,3,3,6,0,0
252,UL58,2025-08-24,21:00,28-29-35-42-43-56,233,38.833,28,56,28,3,3,2,4,6,2,0
253,UL58,2025-08-26,21:00,04-16-31-35-36-50,172,28.667,4,50,46,4,2,2,4,6,1,1
254,UL58,2025-08-29,21:00,01-11-19-27-41-57,156,26,1,57,56,0,6,4,2,6,0,0
255,UL58,2025-08-31,21:00,14-18-43-45-50-52,222,37,14,52,38,4,2,2,4,6,0,0
256,UL58,2025-09-02,21:00,22-25-36-40-49-58,230,38.333,22,58,36,4,2,2,4,6,0,0
257,UL58,2025-09-05,21:00,19-20-29-36-38-47,189,31.5,19,47,28,3,3,3,3,6,1,1
258,UL58,2025-09-07,21:00,19-29-31-40-50-54,223,37.167,19,54,35,3,3,2,4,6,0,2
259,UL58,2025-09-09,21:00,15-23-31-38-52-54,213,35.5,15,54,39,3,3,2,4,6,0,2
260,UL58,2025-09-12,21:00,22-26-27-30-46-57,208,34.667,22,57,35,4,2,3,3,6,1,0
