triple,count,occurrence_count,draw_support_count,draw_support_pct
0>4>9,1,1,1,20.0
0>5>0,1,1,1,20.0
0>6>3,1,1,1,20.0
0>9>5,1,1,1,20.0
1>8>3,1,1,1,20.0
2>5>8,1,1,1,20.0
2>6>1,1,1,1,20.0
3>5>9,1,1,1,20.0
4>9>7,1,1,1,20.0
5>0>4,1,1,1,20.0
5>7>6,1,1,1,20.0
5>8>7,1,1,1,20.0
6>1>8,1,1,1,20.0
6>2>6,1,1,1,20.0
6>3>5,1,1,1,20.0
7>6>1,1,1,1,20.0
7>9>4,1,1,1,20.0
8>7>9,1,1,1,20.0
9>0>6,1,1,1,20.0
9>5>7,1,1,1,20.0
