pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.5625
1E-5O,1,5,0,0.0,9.375
2E-4O,2,4,2,40.0,23.4375
3E-3O,3,3,2,40.0,31.25
4E-2O,4,2,1,20.0,23.4375
5E-1O,5,1,0,0.0,9.375
6E-0O,6,0,0,0.0,1.5625
