pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,5,1.2563,1.5625
1E-5O,1,5,40,10.0503,9.375
2E-4O,2,4,86,21.608,23.4375
3E-3O,3,3,117,29.397,31.25
4E-2O,4,2,104,26.1307,23.4375
5E-1O,5,1,40,10.0503,9.375
6E-0O,6,0,6,1.5075,1.5625
