number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
0,0,247,10.3434,188,47.2362,238.8,8.2,0.559,0,1.123,1,10,2026-08-04,3
1,1,236,9.8827,197,49.4975,238.8,-2.8,-0.191,2,1.015,1.0,9,2026-07-30,6
2,2,255,10.6784,202,50.7538,238.8,16.2,1.105,3,0.955,0,7,2026-07-28,1
3,3,230,9.6315,184,46.2312,238.8,-8.8,-0.6,1,1.148,1,9,2026-08-01,9
4,4,253,10.5946,193,48.4925,238.8,14.2,0.969,0,1.068,1.0,11,2026-08-04,2
5,5,232,9.7152,192,48.2412,238.8,-6.8,-0.464,0,1.079,0,11,2026-08-04,8
6,6,240,10.0503,183,45.9799,238.8,1.2,0.082,1,1.17,1.0,9,2026-08-01,4
7,7,240,10.0503,194,48.7437,238.8,1.2,0.082,0,1.052,1,6,2026-08-04,5
8,8,220,9.2127,178,44.7236,238.8,-18.8,-1.282,3,1.215,1,9,2026-07-28,10
9,9,235,9.8409,182,45.7286,238.8,-3.8,-0.259,0,1.177,0,7,2026-08-04,7
