draw_index,draw_date,draw_time,position,number
1,2023-12-23,21:00,1,4
1,2023-12-23,21:00,2,1
1,2023-12-23,21:00,3,5
1,2023-12-23,21:00,4,0
1,2023-12-23,21:00,5,4
1,2023-12-23,21:00,6,4
2,2023-12-26,21:00,1,6
2,2023-12-26,21:00,2,5
2,2023-12-26,21:00,3,2
2,2023-12-26,21:00,4,2
2,2023-12-26,21:00,5,2
2,2023-12-26,21:00,6,7
3,2023-12-28,21:00,1,1
3,2023-12-28,21:00,2,7
3,2023-12-28,21:00,3,7
3,2023-12-28,21:00,4,8
3,2023-12-28,21:00,5,1
3,2023-12-28,21:00,6,2
4,2023-12-30,21:00,1,9
4,2023-12-30,21:00,2,3
4,2023-12-30,21:00,3,8
4,2023-12-30,21:00,4,0
4,2023-12-30,21:00,5,2
4,2023-12-30,21:00,6,9
5,2024-01-02,21:00,1,1
5,2024-01-02,21:00,2,1
5,2024-01-02,21:00,3,2
5,2024-01-02,21:00,4,7
5,2024-01-02,21:00,5,2
5,2024-01-02,21:00,6,5
6,2024-01-04,21:00,1,0
6,2024-01-04,21:00,2,7
6,2024-01-04,21:00,3,8
6,2024-01-04,21:00,4,4
6,2024-01-04,21:00,5,1
6,2024-01-04,21:00,6,3
7,2024-01-06,21:00,1,9
7,2024-01-06,21:00,2,0
7,2024-01-06,21:00,3,8
7,2024-01-06,21:00,4,5
7,2024-01-06,21:00,5,3
7,2024-01-06,21:00,6,4
8,2024-01-09,21:00,1,8
8,2024-01-09,21:00,2,3
8,2024-01-09,21:00,3,6
8,2024-01-09,21:00,4,7
8,2024-01-09,21:00,5,7
8,2024-01-09,21:00,6,5
9,2024-01-11,21:00,1,4
9,2024-01-11,21:00,2,9
9,2024-01-11,21:00,3,8
9,2024-01-11,21:00,4,4
9,2024-01-11,21:00,5,6
9,2024-01-11,21:00,6,6
10,2024-01-13,21:00,1,4
10,2024-01-13,21:00,2,4
10,2024-01-13,21:00,3,5
10,2024-01-13,21:00,4,1
10,2024-01-13,21:00,5,3
10,2024-01-13,21:00,6,9
11,2024-01-16,21:00,1,1
11,2024-01-16,21:00,2,3
11,2024-01-16,21:00,3,6
11,2024-01-16,21:00,4,6
11,2024-01-16,21:00,5,7
11,2024-01-16,21:00,6,6
12,2024-01-18,21:00,1,7
12,2024-01-18,21:00,2,8
12,2024-01-18,21:00,3,3
12,2024-01-18,21:00,4,4
12,2024-01-18,21:00,5,0
12,2024-01-18,21:00,6,0
13,2024-01-20,21:00,1,5
13,2024-01-20,21:00,2,2
13,2024-01-20,21:00,3,1
13,2024-01-20,21:00,4,9
13,2024-01-20,21:00,5,8
13,2024-01-20,21:00,6,0
14,2024-01-23,21:00,1,5
14,2024-01-23,21:00,2,9
14,2024-01-23,21:00,3,9
14,2024-01-23,21:00,4,5
14,2024-01-23,21:00,5,1
14,2024-01-23,21:00,6,6
15,2024-01-25,21:00,1,9
15,2024-01-25,21:00,2,8
15,2024-01-25,21:00,3,1
15,2024-01-25,21:00,4,4
15,2024-01-25,21:00,5,1
15,2024-01-25,21:00,6,7
16,2024-01-27,21:00,1,1
16,2024-01-27,21:00,2,0
16,2024-01-27,21:00,3,3
16,2024-01-27,21:00,4,3
16,2024-01-27,21:00,5,7
16,2024-01-27,21:00,6,0
17,2024-01-30,21:00,1,1
