draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
281,6DL,2025-10-30,21:00,911551,22,3.667,1,9,8,0,6,3,3,3,0,2
282,6DL,2025-11-01,21:00,659477,38,6.333,4,9,5,2,4,1,5,5,1,2
283,6DL,2025-11-04,21:00,693926,35,5.833,2,9,7,3,3,2,4,4,0,2
284,6DL,2025-11-06,21:00,529669,37,6.167,2,9,7,3,3,1,5,4,0,3
285,6DL,2025-11-08,21:00,936632,29,4.833,2,9,7,3,3,3,3,4,1,3
286,6DL,2025-11-11,21:00,502866,27,4.5,0,8,8,5,1,2,4,5,0,2
287,6DL,2025-11-13,21:00,205032,12,2,0,5,5,4,2,5,1,4,1,3
288,6DL,2025-11-15,21:00,662163,24,4,1,6,5,4,2,3,3,4,1,2
289,6DL,2025-11-18,21:00,333715,22,3.667,1,7,6,0,6,4,2,4,0,2
290,6DL,2025-11-20,21:00,620288,26,4.333,0,8,8,6,0,3,3,4,0,0
291,6DL,2025-11-22,21:00,392536,28,4.667,2,9,7,2,4,3,3,5,0,2
292,6DL,2025-11-25,21:00,025716,21,3.5,0,7,7,3,3,3,3,6,0,3
293,6DL,2025-11-27,21:00,090744,24,4,0,9,9,4,2,4,2,4,0,2
294,6DL,2025-11-29,21:00,421794,27,4.5,1,9,8,3,3,4,2,5,1,3
295,6DL,2025-12-02,21:00,267489,36,6,2,9,7,4,2,2,4,6,2,4
296,6DL,2025-12-04,21:00,531628,25,4.167,1,8,7,3,3,3,3,6,0,3
297,6DL,2025-12-06,21:00,267620,23,3.833,0,7,7,5,1,3,3,4,2,2
298,6DL,2025-12-09,21:00,124929,27,4.5,1,9,8,3,3,4,2,4,1,1
299,6DL,2025-12-11,21:00,509563,28,4.667,0,9,9,2,4,2,4,5,1,1
300,6DL,2025-12-13,21:00,000329,14,2.333,0,9,9,4,2,5,1,4,1,3
301,6DL,2025-12-16,21:00,946674,36,6,4,9,5,4,2,2,4,4,1,1
302,6DL,2025-12-18,21:00,309739,31,5.167,0,9,9,1,5,3,3,4,0,2
303,6DL,2025-12-20,21:00,051496,25,4.167,0,9,9,3,3,3,3,6,0,2
304,6DL,2025-12-23,21:00,133253,17,2.833,1,5,4,1,5,5,1,4,1,2
305,6DL,2025-12-25,21:00,102030,6,1,0,3,3,4,2,6,0,4,1,3
306,6DL,2025-12-27,21:00,080633,20,3.333,0,8,8,4,2,4,2,4,0,2
307,6DL,2025-12-30,21:00,175804,25,4.167,0,8,8,3,3,3,3,6,0,2
308,6DL,2026-01-01,21:00,616830,24,4,0,8,8,4,2,3,3,5,0,3
309,6DL,2026-01-03,21:00,829483,34,5.667,2,9,7,4,2,3,3,5,0,2
310,6DL,2026-01-06,21:00,566228,29,4.833,2,8,6,5,1,2,4,4,1,2
311,6DL,2026-01-08,21:00,626342,23,3.833,2,6,4,5,1,4,2,4,1,2
312,6DL,2026-01-10,21:00,238796,35,5.833,2,9,7,3,3,2,4,6,2,3
313,6DL,2026-01-13,21:00,229433,23,3.833,2,9,7,3,3,5,1,4,1,3
314,6DL,2026-01-15,21:00,664275,30,5,2,7,5,4,2,2,4,5,0,2
315,6DL,2026-01-17,21:00,481553,26,4.333,1,8,7,2,4,3,3,5,0,2
316,6DL,2026-01-20,21:00,850606,25,4.167,0,8,8,5,1,2,4,4,0,2
317,6DL,2026-01-22,21:00,243222,15,2.5,2,4,2,5,1,6,0,3,2,0
318,6DL,2026-01-24,21:00,408171,21,3.5,0,8,8,3,3,4,2,5,0,1
319,6DL,2026-01-27,21:00,271455,24,4,1,7,6,2,4,3,3,5,1,3
320,6DL,2026-01-29,21:00,615866,32,5.333,1,8,7,4,2,1,5,4,0,2
321,6DL,2026-01-31,21:00,470459,29,4.833,0,9,9,3,3,3,3,5,1,1
322,6DL,2026-02-03,21:00,494370,27,4.5,0,9,9,3,3,4,2,5,1,4
323,6DL,2026-02-05,21:00,030589,25,4.167,0,9,9,3,3,3,3,5,1,3
324,6DL,2026-02-07,21:00,134773,25,4.167,1,7,6,1,5,4,2,4,1,1
325,6DL,2026-02-10,21:00,367549,34,5.667,3,9,6,2,4,2,4,6,2,3
326,6DL,2026-02-12,21:00,322607,20,3.333,0,7,7,4,2,4,2,5,1,3
327,6DL,2026-02-14,21:00,737190,27,4.5,0,9,9,1,5,3,3,5,0,3
328,6DL,2026-02-17,21:00,345612,21,3.5,1,6,5,3,3,4,2,6,4,2
329,6DL,2026-02-19,21:00,154292,23,3.833,1,9,8,3,3,4,2,5,1,4
330,6DL,2026-02-21,21:00,175734,27,4.5,1,7,6,1,5,3,3,5,1,3
331,6DL,2026-02-24,21:00,507008,20,3.333,0,8,8,4,2,3,3,4,0,2
332,6DL,2026-02-26,21:00,372918,30,5,1,9,8,2,4,3,3,6,0,2
333,6DL,2026-02-28,21:00,969153,33,5.5,1,9,8,1,5,2,4,5,0,3
334,6DL,2026-03-03,21:00,784472,32,5.333,2,8,6,4,2,3,3,4,1,0
335,6DL,2026-03-05,21:00,720826,25,4.167,0,8,8,5,1,3,3,5,0,3
336,6DL,2026-03-07,21:00,270882,27,4.5,0,8,8,5,1,3,3,4,0,4
337,6DL,2026-03-10,21:00,368454,30,5,3,8,5,4,2,3,3,5,2,1
