draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
379,GL55,2026-06-22,21:00,18-23-32-35-37-53,198,33,18,53,35,2,4,2,4,6,0,0
380,GL55,2026-06-24,21:00,17-22-23-29-51-54,196,32.667,17,54,37,2,4,3,3,6,1,1
381,GL55,2026-06-27,21:00,27-31-32-33-38-49,210,35,27,49,22,2,4,1,5,6,2,0
382,GL55,2026-06-29,21:00,01-12-17-25-26-50,131,21.833,1,50,49,3,3,5,1,6,1,0
383,GL55,2026-07-01,21:00,06-26-32-42-44-46,196,32.667,6,46,40,6,0,2,4,6,0,1
384,GL55,2026-07-04,21:00,09-13-14-15-23-45,119,19.833,9,45,36,1,5,5,1,6,2,0
385,GL55,2026-07-06,21:00,04-18-25-42-49-55,193,32.167,4,55,51,3,3,3,3,6,0,0
386,GL55,2026-07-08,21:00,20-32-46-48-52-54,252,42,20,54,34,6,0,1,5,6,0,0
387,GL55,2026-07-11,21:00,31-38-39-42-44-47,241,40.167,31,47,16,3,3,0,6,6,1,0
388,GL55,2026-07-13,21:00,06-15-26-37-51-55,190,31.667,6,55,49,2,4,3,3,6,0,0
389,GL55,2026-07-15,21:00,03-09-13-20-33-48,126,21,3,48,45,2,4,4,2,6,0,0
390,GL55,2026-07-18,21:00,02-06-21-25-44-48,146,24.333,2,48,46,4,2,4,2,6,0,1
391,GL55,2026-07-20,21:00,03-14-20-23-29-40,129,21.5,3,40,37,3,3,4,2,6,0,0
392,GL55,2026-07-22,21:00,10-15-24-36-48-55,188,31.333,10,55,45,4,2,3,3,6,0,0
393,GL55,2026-07-25,21:00,02-05-12-20-26-50,115,19.167,2,50,48,5,1,5,1,6,0,0
394,GL55,2026-07-27,21:00,06-42-46-49-53-55,251,41.833,6,55,49,3,3,1,5,6,0,0
395,GL55,2026-07-29,21:00,04-09-14-23-33-46,129,21.5,4,46,42,3,3,4,2,6,0,1
396,GL55,2026-08-01,21:00,28-38-44-48-49-54,261,43.5,28,54,26,5,1,1,5,6,1,0
397,GL55,2026-08-03,21:00,02-05-17-34-44-53,155,25.833,2,53,51,3,3,3,3,6,0,1
398,GL55,2026-08-05,21:00,20-26-39-40-41-42,208,34.667,20,42,22,4,2,2,4,6,3,0
