draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,3DL-2PM,2023-12-23,14:00,046,10,3.333,0,6,6,3,0,2,1,3,0,
2,3DL-5PM,2023-12-23,17:00,533,11,3.667,3,5,2,0,3,2,1,2,0,0
3,3DL-9PM,2023-12-23,21:00,943,16,5.333,3,9,6,1,2,2,1,3,1,1
4,3DL-2PM,2023-12-24,14:00,054,9,3,0,5,5,2,1,2,1,3,1,1
5,3DL-5PM,2023-12-24,17:00,770,14,4.667,0,7,7,1,2,1,2,2,0,1
6,3DL-9PM,2023-12-24,21:00,913,13,4.333,1,9,8,0,3,2,1,3,0,0
7,3DL-2PM,2023-12-26,14:00,347,14,4.667,3,7,4,1,2,2,1,3,1,1
8,3DL-5PM,2023-12-26,17:00,890,17,5.667,0,9,9,2,1,1,2,3,1,0
9,3DL-9PM,2023-12-26,21:00,769,22,7.333,6,9,3,1,2,0,3,3,1,1
10,3DL-2PM,2023-12-27,14:00,952,16,5.333,2,9,7,1,2,1,2,3,0,1
11,3DL-5PM,2023-12-27,17:00,308,11,3.667,0,8,8,2,1,2,1,3,0,0
12,3DL-9PM,2023-12-27,21:00,004,4,1.333,0,4,4,3,0,3,0,2,0,1
13,3DL-2PM,2023-12-28,14:00,216,9,3,1,6,5,2,1,2,1,3,1,0
14,3DL-5PM,2023-12-28,17:00,531,9,3,1,5,4,0,3,2,1,3,0,1
15,3DL-9PM,2023-12-28,21:00,430,7,2.333,0,4,4,2,1,3,0,3,1,1
16,3DL-2PM,2023-12-29,14:00,510,6,2,0,5,5,1,2,2,1,3,1,1
17,3DL-5PM,2023-12-29,17:00,354,12,4,3,5,2,1,2,2,1,3,1,1
18,3DL-9PM,2023-12-29,21:00,928,19,6.333,2,9,7,2,1,1,2,3,0,0
19,3DL-2PM,2023-12-30,14:00,571,13,4.333,1,7,6,0,3,1,2,3,0,0
20,3DL-5PM,2023-12-30,17:00,598,22,7.333,5,9,4,1,2,0,3,3,1,1
21,3DL-9PM,2023-12-30,21:00,407,11,3.667,0,7,7,2,1,2,1,3,0,0
22,3DL-2PM,2023-12-31,14:00,676,19,6.333,6,7,1,2,1,0,3,2,2,1
23,3DL-5PM,2023-12-31,17:00,336,12,4,3,6,3,1,2,2,1,2,0,1
24,3DL-9PM,2023-12-31,21:00,156,12,4,1,6,5,1,2,1,2,3,1,1
25,3DL-2PM,2024-01-02,14:00,552,12,4,2,5,3,1,2,1,2,2,0,1
26,3DL-5PM,2024-01-02,17:00,482,14,4.667,2,8,6,3,0,2,1,3,0,1
27,3DL-9PM,2024-01-02,21:00,547,16,5.333,4,7,3,1,2,1,2,3,1,1
28,3DL-2PM,2024-01-03,14:00,214,7,2.333,1,4,3,2,1,3,0,3,1,1
29,3DL-5PM,2024-01-03,17:00,593,17,5.667,3,9,6,0,3,1,2,3,0,0
30,3DL-9PM,2024-01-03,21:00,030,3,1,0,3,3,2,1,3,0,2,0,1
31,3DL-2PM,2024-01-04,14:00,866,20,6.667,6,8,2,3,0,0,3,2,0,0
32,3DL-5PM,2024-01-04,17:00,821,11,3.667,1,8,7,2,1,2,1,3,1,1
33,3DL-9PM,2024-01-04,21:00,143,8,2.667,1,4,3,1,2,3,0,3,1,1
34,3DL-2PM,2024-01-05,14:00,604,10,3.333,0,6,6,3,0,2,1,3,0,1
35,3DL-5PM,2024-01-05,17:00,576,18,6,5,7,2,1,2,0,3,3,1,1
36,3DL-9PM,2024-01-05,21:00,123,6,2,1,3,2,1,2,3,0,3,2,0
37,3DL-2PM,2024-01-06,14:00,413,8,2.667,1,4,3,1,2,3,0,3,0,2
38,3DL-5PM,2024-01-06,17:00,951,15,5,1,9,8,0,3,1,2,3,0,1
39,3DL-9PM,2024-01-06,21:00,997,25,8.333,7,9,2,0,3,0,3,2,0,1
40,3DL-2PM,2024-01-07,14:00,533,11,3.667,3,5,2,0,3,2,1,2,0,0
41,3DL-5PM,2024-01-07,17:00,721,10,3.333,1,7,6,1,2,2,1,3,1,0
42,3DL-9PM,2024-01-07,21:00,915,15,5,1,9,8,0,3,1,2,3,0,1
43,3DL-2PM,2024-01-08,14:00,024,6,2,0,4,4,3,0,3,0,3,0,0
44,3DL-5PM,2024-01-08,17:00,734,14,4.667,3,7,4,1,2,2,1,3,1,1
45,3DL-9PM,2024-01-08,21:00,535,13,4.333,3,5,2,0,3,1,2,2,0,1
46,3DL-2PM,2024-01-09,14:00,957,21,7,5,9,4,0,3,0,3,3,0,1
47,3DL-5PM,2024-01-09,17:00,305,8,2.667,0,5,5,1,2,2,1,3,0,1
48,3DL-9PM,2024-01-09,21:00,415,10,3.333,1,5,4,1,2,2,1,3,0,1
49,3DL-2PM,2024-01-10,14:00,198,18,6,1,9,8,1,2,1,2,3,1,1
50,3DL-5PM,2024-01-10,17:00,040,4,1.333,0,4,4,3,0,3,0,2,0,0
51,3DL-9PM,2024-01-10,21:00,810,9,3,0,8,8,2,1,2,1,3,1,1
52,3DL-2PM,2024-01-11,14:00,073,10,3.333,0,7,7,1,2,2,1,3,0,1
53,3DL-5PM,2024-01-11,17:00,521,8,2.667,1,5,4,1,2,2,1,3,1,0
54,3DL-9PM,2024-01-11,21:00,991,19,6.333,1,9,8,0,3,1,2,2,0,1
55,3DL-2PM,2024-01-12,14:00,447,15,5,4,7,3,2,1,2,1,2,0,0
56,3DL-5PM,2024-01-12,17:00,437,14,4.667,3,7,4,1,2,2,1,3,1,2
57,3DL-9PM,2024-01-12,21:00,241,7,2.333,1,4,3,2,1,3,0,3,0,1
58,3DL-2PM,2024-01-13,14:00,947,20,6.667,4,9,5,1,2,1,2,3,0,1
59,3DL-5PM,2024-01-13,17:00,132,6,2,1,3,2,1,2,3,0,3,1,0
60,3DL-9PM,2024-01-13,21:00,024,6,2,0,4,4,3,0,3,0,3,0,1
61,3DL-2PM,2024-01-14,14:00,550,10,3.333,0,5,5,1,2,1,2,2,0,1
62,3DL-5PM,2024-01-14,17:00,869,23,7.667,6,9,3,2,1,0,3,3,0,0
63,3DL-9PM,2024-01-14,21:00,310,4,1.333,0,3,3,1,2,3,0,3,1,0
64,3DL-2PM,2024-01-15,14:00,849,21,7,4,9,5,2,1,1,2,3,0,0
65,3DL-5PM,2024-01-15,17:00,977,23,7.667,7,9,2,0,3,0,3,2,0,1
66,3DL-9PM,2024-01-15,21:00,138,12,4,1,8,7,1,2,2,1,3,0,0
67,3DL-2PM,2024-01-16,14:00,317,11,3.667,1,7,6,0,3,2,1,3,0,2
68,3DL-5PM,2024-01-16,17:00,408,12,4,0,8,8,3,0,2,1,3,0,0
69,3DL-9PM,2024-01-16,21:00,584,17,5.667,4,8,4,2,1,1,2,3,0,2
70,3DL-2PM,2024-01-17,14:00,571,13,4.333,1,7,6,0,3,1,2,3,0,1
71,3DL-5PM,2024-01-17,17:00,770,14,4.667,0,7,7,1,2,1,2,2,0,1
72,3DL-9PM,2024-01-17,21:00,129,12,4,1,9,8,1,2,2,1,3,1,0
73,3DL-2PM,2024-01-18,14:00,840,12,4,0,8,8,3,0,2,1,3,0,0
74,3DL-5PM,2024-01-18,17:00,517,13,4.333,1,7,6,0,3,1,2,3,0,0
75,3DL-9PM,2024-01-18,21:00,915,15,5,1,9,8,0,3,1,2,3,0,2
76,3DL-2PM,2024-01-19,14:00,545,14,4.667,4,5,1,1,2,1,2,2,2,1
77,3DL-5PM,2024-01-19,17:00,505,10,3.333,0,5,5,1,2,1,2,2,0,1
78,3DL-9PM,2024-01-19,21:00,474,15,5,4,7,3,2,1,2,1,2,0,0
79,3DL-2PM,2024-01-20,14:00,826,16,5.333,2,8,6,3,0,1,2,3,0,0
80,3DL-5PM,2024-01-20,17:00,506,11,3.667,0,6,6,2,1,1,2,3,0,1
81,3DL-9PM,2024-01-20,21:00,374,14,4.667,3,7,4,1,2,2,1,3,0,0
82,3DL-2PM,2024-01-21,14:00,227,11,3.667,2,7,5,2,1,2,1,2,0,1
83,3DL-5PM,2024-01-21,17:00,723,12,4,2,7,5,1,2,2,1,3,1,2
84,3DL-9PM,2024-01-21,21:00,173,11,3.667,1,7,6,0,3,2,1,3,0,2
85,3DL-2PM,2024-01-22,14:00,615,12,4,1,6,5,1,2,1,2,3,0,1
86,3DL-5PM,2024-01-22,17:00,423,9,3,2,4,2,2,1,3,0,3,1,0
87,3DL-9PM,2024-01-22,21:00,556,16,5.333,5,6,1,1,2,0,3,2,1,0
88,3DL-2PM,2024-01-23,14:00,613,10,3.333,1,6,5,1,2,2,1,3,0,1
89,3DL-5PM,2024-01-23,17:00,660,12,4,0,6,6,3,0,1,2,2,0,1
90,3DL-9PM,2024-01-23,21:00,441,9,3,1,4,3,2,1,3,0,2,0,0
91,3DL-2PM,2024-01-24,14:00,457,16,5.333,4,7,3,1,2,1,2,3,1,1
92,3DL-5PM,2024-01-24,17:00,226,10,3.333,2,6,4,3,0,2,1,2,0,0
93,3DL-9PM,2024-01-24,21:00,025,7,2.333,0,5,5,2,1,2,1,3,0,1
94,3DL-2PM,2024-01-25,14:00,852,15,5,2,8,6,2,1,1,2,3,0,2
95,3DL-5PM,2024-01-25,17:00,500,5,1.667,0,5,5,2,1,2,1,2,0,1
96,3DL-9PM,2024-01-25,21:00,067,13,4.333,0,7,7,2,1,1,2,3,1,1
97,3DL-2PM,2024-01-26,14:00,332,8,2.667,2,3,1,1,2,3,0,2,1,0
98,3DL-5PM,2024-01-26,17:00,960,15,5,0,9,9,2,1,1,2,3,0,0
99,3DL-9PM,2024-01-26,21:00,402,6,2,0,4,4,3,0,3,0,3,0,1
100,3DL-2PM,2024-01-27,14:00,326,11,3.667,2,6,4,2,1,2,1,3,1,1
101,3DL-5PM,2024-01-27,17:00,766,19,6.333,6,7,1,2,1,0,3,2,1,1
102,3DL-9PM,2024-01-27,21:00,257,14,4.667,2,7,5,1,2,1,2,3,0,1
103,3DL-2PM,2024-01-28,14:00,954,18,6,4,9,5,1,2,1,2,3,1,1
104,3DL-5PM,2024-01-28,17:00,698,23,7.667,6,9,3,2,1,0,3,3,1,1
105,3DL-9PM,2024-01-28,21:00,458,17,5.667,4,8,4,2,1,1,2,3,1,1
106,3DL-2PM,2024-01-29,14:00,810,9,3,0,8,8,2,1,2,1,3,1,1
107,3DL-5PM,2024-01-29,17:00,406,10,3.333,0,6,6,3,0,2,1,3,0,1
108,3DL-9PM,2024-01-29,21:00,224,8,2.667,2,4,2,3,0,3,0,2,0,1
109,3DL-2PM,2024-01-30,14:00,952,16,5.333,2,9,7,1,2,1,2,3,0,1
110,3DL-5PM,2024-01-30,17:00,857,20,6.667,5,8,3,1,2,0,3,3,0,1
111,3DL-9PM,2024-01-30,21:00,671,14,4.667,1,7,6,1,2,1,2,3,1,1
112,3DL-2PM,2024-01-31,14:00,032,5,1.667,0,3,3,2,1,3,0,3,1,0
113,3DL-5PM,2024-01-31,17:00,640,10,3.333,0,6,6,3,0,2,1,3,0,1
114,3DL-9PM,2024-01-31,21:00,082,10,3.333,0,8,8,3,0,2,1,3,0,1
115,3DL-2PM,2024-02-01,14:00,904,13,4.333,0,9,9,2,1,2,1,3,0,1
116,3DL-5PM,2024-02-01,17:00,297,18,6,2,9,7,1,2,1,2,3,0,1
117,3DL-9PM,2024-02-01,21:00,487,19,6.333,4,8,4,2,1,1,2,3,1,1
118,3DL-2PM,2024-02-02,14:00,519,15,5,1,9,8,0,3,1,2,3,0,0
119,3DL-5PM,2024-02-02,17:00,436,13,4.333,3,6,3,2,1,2,1,3,1,0
120,3DL-9PM,2024-02-02,21:00,984,21,7,4,9,5,2,1,1,2,3,1,1
