position,number,numeric_value,count,rate_pct,expected_count
1,0,0,240,9.6502,248.7
1,1,1,241,9.6904,248.7
1,2,2,272,10.9369,248.7
1,3,3,269,10.8162,248.7
1,4,4,264,10.6152,248.7
1,5,5,217,8.7254,248.7
1,6,6,250,10.0523,248.7
1,7,7,249,10.0121,248.7
1,8,8,240,9.6502,248.7
1,9,9,245,9.8512,248.7
2,0,0,254,10.2131,248.7
2,1,1,251,10.0925,248.7
2,2,2,243,9.7708,248.7
2,3,3,263,10.575,248.7
2,4,4,242,9.7306,248.7
2,5,5,259,10.4142,248.7
2,6,6,258,10.3739,248.7
2,7,7,249,10.0121,248.7
2,8,8,237,9.5296,248.7
2,9,9,231,9.2883,248.7
3,0,0,264,10.6152,248.7
3,1,1,243,9.7708,248.7
3,2,2,249,10.0121,248.7
3,3,3,244,9.811,248.7
3,4,4,250,10.0523,248.7
3,5,5,234,9.4089,248.7
3,6,6,269,10.8162,248.7
3,7,7,251,10.0925,248.7
3,8,8,236,9.4893,248.7
3,9,9,247,9.9316,248.7
