pair_or_transition,first,second,count,draw_support_pct
7>3,7,3,67,2.694
6>0,6,0,64,2.5734
6>6,6,6,63,2.5332
3>0,3,0,62,2.493
3>2,3,2,62,2.493
4>2,4,2,62,2.493
8>6,8,6,62,2.493
3>9,3,9,59,2.3723
4>4,4,4,59,2.3723
2>0,2,0,58,2.3321
0>7,0,7,57,2.2919
0>8,0,8,57,2.2919
4>0,4,0,57,2.2919
5>1,5,1,57,2.2919
7>7,7,7,57,2.2919
8>5,8,5,57,2.2919
7>5,7,5,56,2.2517
0>4,0,4,55,2.2115
2>6,2,6,55,2.2115
5>0,5,0,55,2.2115
9>6,9,6,55,2.2115
1>3,1,3,54,2.1713
7>4,7,4,54,2.1713
1>1,1,1,53,2.1311
2>4,2,4,53,2.1311
3>4,3,4,53,2.1311
5>9,5,9,53,2.1311
9>3,9,3,53,2.1311
1>5,1,5,52,2.0909
2>1,2,1,52,2.0909
2>7,2,7,52,2.0909
2>9,2,9,52,2.0909
5>7,5,7,52,2.0909
6>3,6,3,52,2.0909
7>6,7,6,52,2.0909
8>7,8,7,52,2.0909
1>2,1,2,51,2.0507
2>2,2,2,51,2.0507
3>1,3,1,51,2.0507
3>8,3,8,51,2.0507
4>1,4,1,51,2.0507
4>9,4,9,51,2.0507
5>6,5,6,51,2.0507
0>1,0,1,50,2.0105
0>6,0,6,50,2.0105
2>3,2,3,50,2.0105
3>3,3,3,50,2.0105
3>5,3,5,50,2.0105
6>5,6,5,50,2.0105
6>8,6,8,50,2.0105
6>9,6,9,50,2.0105
9>2,9,2,50,2.0105
9>8,9,8,50,2.0105
1>0,1,0,49,1.9702
4>8,4,8,49,1.9702
0>3,0,3,48,1.93
0>9,0,9,48,1.93
1>4,1,4,48,1.93
1>7,1,7,48,1.93
3>6,3,6,48,1.93
4>7,4,7,48,1.93
5>5,5,5,48,1.93
6>1,6,1,48,1.93
6>4,6,4,48,1.93
9>0,9,0,48,1.93
0>2,0,2,47,1.8898
0>5,0,5,47,1.8898
1>6,1,6,47,1.8898
1>9,1,9,47,1.8898
2>5,2,5,47,1.8898
8>3,8,3,47,1.8898
3>7,3,7,46,1.8496
9>7,9,7,46,1.8496
2>8,2,8,45,1.8094
7>0,7,0,45,1.8094
7>2,7,2,45,1.8094
7>8,7,8,45,1.8094
8>0,8,0,45,1.8094
8>1,8,1,45,1.8094
8>2,8,2,45,1.8094
8>8,8,8,45,1.8094
9>5,9,5,45,1.8094
4>3,4,3,44,1.7692
4>6,4,6,44,1.7692
7>1,7,1,44,1.7692
9>9,9,9,44,1.7692
1>8,1,8,43,1.729
9>1,9,1,43,1.729
5>3,5,3,42,1.6888
5>4,5,4,42,1.6888
6>7,6,7,42,1.6888
9>4,9,4,42,1.6888
4>5,4,5,41,1.6486
6>2,6,2,41,1.6486
8>9,8,9,41,1.6486
5>2,5,2,38,1.5279
5>8,5,8,38,1.5279
8>4,8,4,38,1.5279
0>0,0,0,35,1.4073
7>9,7,9,33,1.3269
