number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
0,0,758,10.1595,698,28.0659,746.1,11.9,0.459,2,2.564,2,18,2026-08-05,4
1,1,735,9.8512,668,26.8597,746.1,-11.1,-0.428,10,2.705,2,32,2026-08-02,7
2,2,764,10.2399,689,27.7041,746.1,17.9,0.691,0,2.6,2.0,17,2026-08-05,3
3,3,776,10.4008,707,28.4278,746.1,29.9,1.154,3,2.516,2.0,28,2026-08-04,2
4,4,756,10.1327,671,26.9803,746.1,9.9,0.382,4,2.704,2.0,22,2026-08-04,5
5,5,710,9.5162,639,25.6936,746.1,-36.1,-1.393,1,2.893,2.0,24,2026-08-05,10
6,6,777,10.4142,691,27.7845,746.1,30.9,1.192,1,2.601,2.0,26,2026-08-05,1
7,7,749,10.0389,671,26.9803,746.1,2.9,0.112,0,2.704,2.0,26,2026-08-05,6
8,8,713,9.5564,654,26.2967,746.1,-33.1,-1.277,0,2.796,2,24,2026-08-05,9
9,9,723,9.6904,651,26.1761,746.1,-23.1,-0.891,5,2.814,2.0,22,2026-08-04,8
