pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
10>28,10,28,1,1,1,20.0
13>18,13,18,1,1,1,20.0
19>17,19,17,1,1,1,20.0
20>23,20,23,1,1,1,20.0
21>02,21,02,1,1,1,20.0
