rambolito_key,straight_permutations,draw_count,first_seen,last_seen
02-21,2,1,2026-08-05,2026-08-05
10-28,2,1,2026-08-04,2026-08-04
13-18,2,1,2026-08-05,2026-08-05
17-19,2,1,2026-08-04,2026-08-04
20-23,2,1,2026-08-05,2026-08-05
