pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,6,1.5113,1.0344
1E-5O,1,5,34,8.5642,8.1461
2E-4O,2,4,97,24.4332,23.9592
3E-3O,3,3,132,33.2494,33.7204
4E-2O,4,2,92,23.1738,23.9592
5E-1O,5,1,33,8.3123,8.1461
6E-0O,6,0,3,0.7557,1.0344
