draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw,shared_distinct_values_with_previous_draw,exact_position_repeats_with_previous_draw
1,UL58,2026-07-26,21:00,07-11-30-33-44-50,175,29.167,7,50,43,3,3,2,4,6,0,,,
2,UL58,2026-07-28,21:00,07-30-32-34-48-55,206,34.333,7,55,48,4,2,1,5,6,0,2,2,
3,UL58,2026-07-31,21:00,11-15-18-36-52-54,186,31,11,54,43,4,2,3,3,6,0,0,0,
4,UL58,2026-08-02,21:00,09-23-24-35-38-41,170,28.333,9,41,32,2,4,3,3,6,1,0,0,
5,UL58,2026-08-04,21:00,07-13-14-35-46-55,170,28.333,7,55,48,2,4,3,3,6,1,1,1,
