pair_or_transition,first,second,count,draw_support_pct
14>20,14,20,10,0.3775
21>08,21,08,9,0.3398
28>07,28,07,8,0.302
28>30,28,30,8,0.302
29>17,29,17,8,0.302
30>21,30,21,8,0.302
03>15,03,15,7,0.2643
03>30,03,30,7,0.2643
08>16,08,16,7,0.2643
14>25,14,25,7,0.2643
15>29,15,29,7,0.2643
16>24,16,24,7,0.2643
17>06,17,06,7,0.2643
19>03,19,03,7,0.2643
21>16,21,16,7,0.2643
29>18,29,18,7,0.2643
01>07,01,07,6,0.2265
01>28,01,28,6,0.2265
02>07,02,07,6,0.2265
02>21,02,21,6,0.2265
03>01,03,01,6,0.2265
03>16,03,16,6,0.2265
04>28,04,28,6,0.2265
04>29,04,29,6,0.2265
05>07,05,07,6,0.2265
06>19,06,19,6,0.2265
06>28,06,28,6,0.2265
07>01,07,01,6,0.2265
07>12,07,12,6,0.2265
08>31,08,31,6,0.2265
09>14,09,14,6,0.2265
09>16,09,16,6,0.2265
09>22,09,22,6,0.2265
10>27,10,27,6,0.2265
11>24,11,24,6,0.2265
11>30,11,30,6,0.2265
13>21,13,21,6,0.2265
14>03,14,03,6,0.2265
15>05,15,05,6,0.2265
15>13,15,13,6,0.2265
15>27,15,27,6,0.2265
16>06,16,06,6,0.2265
17>07,17,07,6,0.2265
19>12,19,12,6,0.2265
20>01,20,01,6,0.2265
20>25,20,25,6,0.2265
21>13,21,13,6,0.2265
22>04,22,04,6,0.2265
23>19,23,19,6,0.2265
25>10,25,10,6,0.2265
25>15,25,15,6,0.2265
25>18,25,18,6,0.2265
25>28,25,28,6,0.2265
26>15,26,15,6,0.2265
26>24,26,24,6,0.2265
27>25,27,25,6,0.2265
27>30,27,30,6,0.2265
28>27,28,27,6,0.2265
29>05,29,05,6,0.2265
29>29,29,29,6,0.2265
30>03,30,03,6,0.2265
30>09,30,09,6,0.2265
31>08,31,08,6,0.2265
31>28,31,28,6,0.2265
01>03,01,03,5,0.1888
01>18,01,18,5,0.1888
01>19,01,19,5,0.1888
01>21,01,21,5,0.1888
01>23,01,23,5,0.1888
02>15,02,15,5,0.1888
02>16,02,16,5,0.1888
02>28,02,28,5,0.1888
04>12,04,12,5,0.1888
04>21,04,21,5,0.1888
05>02,05,02,5,0.1888
05>15,05,15,5,0.1888
07>02,07,02,5,0.1888
07>21,07,21,5,0.1888
07>23,07,23,5,0.1888
08>09,08,09,5,0.1888
08>20,08,20,5,0.1888
09>09,09,09,5,0.1888
10>09,10,09,5,0.1888
10>10,10,10,5,0.1888
10>12,10,12,5,0.1888
10>28,10,28,5,0.1888
11>01,11,01,5,0.1888
11>18,11,18,5,0.1888
11>28,11,28,5,0.1888
11>31,11,31,5,0.1888
12>06,12,06,5,0.1888
12>09,12,09,5,0.1888
12>23,12,23,5,0.1888
12>29,12,29,5,0.1888
13>31,13,31,5,0.1888
15>04,15,04,5,0.1888
15>26,15,26,5,0.1888
16>07,16,07,5,0.1888
16>26,16,26,5,0.1888
17>08,17,08,5,0.1888
17>20,17,20,5,0.1888
17>22,17,22,5,0.1888
18>08,18,08,5,0.1888
18>09,18,09,5,0.1888
18>25,18,25,5,0.1888
19>02,19,02,5,0.1888
19>16,19,16,5,0.1888
19>17,19,17,5,0.1888
19>19,19,19,5,0.1888
20>22,20,22,5,0.1888
21>20,21,20,5,0.1888
22>09,22,09,5,0.1888
22>20,22,20,5,0.1888
22>23,22,23,5,0.1888
22>29,22,29,5,0.1888
23>21,23,21,5,0.1888
24>09,24,09,5,0.1888
24>11,24,11,5,0.1888
24>12,24,12,5,0.1888
25>16,25,16,5,0.1888
25>26,25,26,5,0.1888
26>08,26,08,5,0.1888
26>22,26,22,5,0.1888
26>29,26,29,5,0.1888
28>09,28,09,5,0.1888
28>13,28,13,5,0.1888
28>19,28,19,5,0.1888
28>20,28,20,5,0.1888
29>08,29,08,5,0.1888
29>11,29,11,5,0.1888
29>24,29,24,5,0.1888
29>31,29,31,5,0.1888
30>25,30,25,5,0.1888
01>02,01,02,4,0.151
01>04,01,04,4,0.151
01>09,01,09,4,0.151
01>13,01,13,4,0.151
01>16,01,16,4,0.151
01>25,01,25,4,0.151
01>31,01,31,4,0.151
02>02,02,02,4,0.151
02>11,02,11,4,0.151
02>13,02,13,4,0.151
02>18,02,18,4,0.151
02>29,02,29,4,0.151
03>04,03,04,4,0.151
03>05,03,05,4,0.151
03>11,03,11,4,0.151
03>13,03,13,4,0.151
04>09,04,09,4,0.151
04>13,04,13,4,0.151
04>16,04,16,4,0.151
04>18,04,18,4,0.151
04>22,04,22,4,0.151
04>26,04,26,4,0.151
04>31,04,31,4,0.151
05>03,05,03,4,0.151
05>22,05,22,4,0.151
05>24,05,24,4,0.151
05>27,05,27,4,0.151
06>03,06,03,4,0.151
06>04,06,04,4,0.151
06>08,06,08,4,0.151
06>09,06,09,4,0.151
06>10,06,10,4,0.151
06>14,06,14,4,0.151
06>24,06,24,4,0.151
07>05,07,05,4,0.151
07>16,07,16,4,0.151
07>20,07,20,4,0.151
08>02,08,02,4,0.151
08>05,08,05,4,0.151
08>24,08,24,4,0.151
09>02,09,02,4,0.151
09>04,09,04,4,0.151
09>05,09,05,4,0.151
09>07,09,07,4,0.151
09>08,09,08,4,0.151
09>15,09,15,4,0.151
09>25,09,25,4,0.151
09>26,09,26,4,0.151
10>01,10,01,4,0.151
10>05,10,05,4,0.151
10>06,10,06,4,0.151
10>16,10,16,4,0.151
10>20,10,20,4,0.151
10>21,10,21,4,0.151
11>07,11,07,4,0.151
11>12,11,12,4,0.151
11>14,11,14,4,0.151
11>26,11,26,4,0.151
11>29,11,29,4,0.151
12>07,12,07,4,0.151
12>10,12,10,4,0.151
12>15,12,15,4,0.151
12>17,12,17,4,0.151
12>21,12,21,4,0.151
12>26,12,26,4,0.151
12>28,12,28,4,0.151
12>31,12,31,4,0.151
13>03,13,03,4,0.151
13>18,13,18,4,0.151
13>20,13,20,4,0.151
13>27,13,27,4,0.151
13>28,13,28,4,0.151
14>01,14,01,4,0.151
14>02,14,02,4,0.151
14>06,14,06,4,0.151
14>17,14,17,4,0.151
14>19,14,19,4,0.151
15>18,15,18,4,0.151
15>21,15,21,4,0.151
15>23,15,23,4,0.151
16>09,16,09,4,0.151
16>13,16,13,4,0.151
16>16,16,16,4,0.151
16>27,16,27,4,0.151
16>30,16,30,4,0.151
17>13,17,13,4,0.151
17>16,17,16,4,0.151
18>07,18,07,4,0.151
18>19,18,19,4,0.151
18>20,18,20,4,0.151
19>09,19,09,4,0.151
19>10,19,10,4,0.151
19>22,19,22,4,0.151
19>25,19,25,4,0.151
19>29,19,29,4,0.151
19>31,19,31,4,0.151
20>06,20,06,4,0.151
20>07,20,07,4,0.151
20>09,20,09,4,0.151
20>11,20,11,4,0.151
20>12,20,12,4,0.151
20>13,20,13,4,0.151
20>16,20,16,4,0.151
20>24,20,24,4,0.151
21>01,21,01,4,0.151
21>02,21,02,4,0.151
21>06,21,06,4,0.151
21>12,21,12,4,0.151
21>21,21,21,4,0.151
22>01,22,01,4,0.151
22>08,22,08,4,0.151
22>12,22,12,4,0.151
22>15,22,15,4,0.151
22>21,22,21,4,0.151
22>26,22,26,4,0.151
23>08,23,08,4,0.151
23>11,23,11,4,0.151
23>12,23,12,4,0.151
23>15,23,15,4,0.151
23>25,23,25,4,0.151
24>19,24,19,4,0.151
24>21,24,21,4,0.151
25>06,25,06,4,0.151
25>09,25,09,4,0.151
25>13,25,13,4,0.151
25>14,25,14,4,0.151
26>01,26,01,4,0.151
26>12,26,12,4,0.151
26>14,26,14,4,0.151
27>03,27,03,4,0.151
27>07,27,07,4,0.151
27>11,27,11,4,0.151
27>15,27,15,4,0.151
27>23,27,23,4,0.151
27>24,27,24,4,0.151
27>27,27,27,4,0.151
27>28,27,28,4,0.151
28>02,28,02,4,0.151
28>03,28,03,4,0.151
28>05,28,05,4,0.151
28>08,28,08,4,0.151
28>15,28,15,4,0.151
28>29,28,29,4,0.151
29>13,29,13,4,0.151
29>16,29,16,4,0.151
29>21,29,21,4,0.151
29>25,29,25,4,0.151
29>26,29,26,4,0.151
30>04,30,04,4,0.151
30>13,30,13,4,0.151
30>19,30,19,4,0.151
30>20,30,20,4,0.151
30>23,30,23,4,0.151
30>24,30,24,4,0.151
