position,number,numeric_value,count,rate_pct,expected_count
1,01,1,100,3.775,85.452
1,02,2,82,3.0955,85.452
1,03,3,87,3.2843,85.452
1,04,4,82,3.0955,85.452
1,05,5,82,3.0955,85.452
1,06,6,81,3.0578,85.452
1,07,7,83,3.1333,85.452
1,08,8,84,3.171,85.452
1,09,9,92,3.473,85.452
1,10,10,92,3.473,85.452
1,11,11,95,3.5863,85.452
1,12,12,91,3.4353,85.452
1,13,13,70,2.6425,85.452
1,14,14,88,3.322,85.452
1,15,15,84,3.171,85.452
1,16,16,80,3.02,85.452
1,17,17,74,2.7935,85.452
1,18,18,79,2.9823,85.452
1,19,19,96,3.624,85.452
1,20,20,85,3.2088,85.452
1,21,21,97,3.6618,85.452
1,22,22,80,3.02,85.452
1,23,23,77,2.9068,85.452
1,24,24,73,2.7558,85.452
1,25,25,90,3.3975,85.452
1,26,26,76,2.869,85.452
1,27,27,84,3.171,85.452
1,28,28,94,3.5485,85.452
1,29,29,100,3.775,85.452
1,30,30,91,3.4353,85.452
1,31,31,80,3.02,85.452
2,01,1,83,3.1333,85.452
2,02,2,75,2.8313,85.452
2,03,3,91,3.4353,85.452
2,04,4,75,2.8313,85.452
2,05,5,84,3.171,85.452
2,06,6,86,3.2465,85.452
2,07,7,102,3.8505,85.452
2,08,8,86,3.2465,85.452
2,09,9,102,3.8505,85.452
2,10,10,69,2.6048,85.452
2,11,11,75,2.8313,85.452
2,12,12,89,3.3598,85.452
2,13,13,88,3.322,85.452
2,14,14,76,2.869,85.452
2,15,15,89,3.3598,85.452
2,16,16,109,4.1148,85.452
2,17,17,66,2.4915,85.452
2,18,18,87,3.2843,85.452
2,19,19,87,3.2843,85.452
2,20,20,94,3.5485,85.452
2,21,21,93,3.5108,85.452
2,22,22,86,3.2465,85.452
2,23,23,80,3.02,85.452
2,24,24,92,3.473,85.452
2,25,25,84,3.171,85.452
2,26,26,82,3.0955,85.452
2,27,27,76,2.869,85.452
2,28,28,90,3.3975,85.452
2,29,29,92,3.473,85.452
2,30,30,73,2.7558,85.452
2,31,31,88,3.322,85.452
