number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
01,1,183,3.4541,182,6.8705,170.903,12.097,0.941,22,13.392,11,71,2026-07-29,7
02,2,157,2.9634,153,5.7758,170.903,-13.903,-1.081,0,16.388,11.0,62,2026-08-05,28
03,3,178,3.3598,177,6.6818,170.903,7.097,0.552,14,13.881,10.0,86,2026-08-01,11
04,4,157,2.9634,154,5.8135,170.903,-13.903,-1.081,28,16.111,11,105,2026-07-27,29
05,5,166,3.1333,164,6.191,170.903,-4.903,-0.381,17,14.988,11,81,2026-07-31,18
06,6,167,3.1521,164,6.191,170.903,-3.903,-0.304,21,15.092,10,89,2026-07-29,17
07,7,185,3.4919,182,6.8705,170.903,14.097,1.096,5,13.503,9,68,2026-08-04,5
08,8,170,3.2088,169,6.3798,170.903,-0.903,-0.07,32,14.56,10.0,83,2026-07-26,14
09,9,194,3.6618,189,7.1348,170.903,23.097,1.796,9,12.963,8.0,53,2026-08-02,1
10,10,161,3.0389,156,5.889,170.903,-9.903,-0.77,4,16,11,91,2026-08-04,24
11,11,170,3.2088,167,6.3043,170.903,-0.903,-0.07,26,14.777,10.0,95,2026-07-28,15
12,12,180,3.3975,179,6.7573,170.903,9.097,0.707,28,13.713,9.0,85,2026-07-27,9
13,13,158,2.9823,158,5.9645,170.903,-12.903,-1.003,1,15.656,10,102,2026-08-05,26
14,14,164,3.0955,164,6.191,170.903,-6.903,-0.537,6,15.184,10,79,2026-08-03,22
15,15,173,3.2654,173,6.5308,170.903,2.097,0.163,19,14.285,9.5,97,2026-07-30,13
16,16,189,3.5674,185,6.9838,170.903,18.097,1.407,44,13.033,8.5,77,2026-07-22,4
17,17,140,2.6425,140,5.285,170.903,-30.903,-2.403,3,17.906,12,104,2026-08-04,31
18,18,166,3.1333,163,6.1533,170.903,-4.903,-0.381,1,15.29,10.5,98,2026-08-05,19
19,19,183,3.4541,178,6.7195,170.903,12.097,0.941,3,13.859,9,76,2026-08-04,8
20,20,179,3.3786,177,6.6818,170.903,8.097,0.63,2,13.972,9.0,96,2026-08-05,10
21,21,190,3.5863,186,7.0215,170.903,19.097,1.485,0,13.178,9,86,2026-08-05,3
22,22,166,3.1333,165,6.2288,170.903,-4.903,-0.381,8,14.732,10.0,71,2026-08-03,20
23,23,157,2.9634,156,5.889,170.903,-13.903,-1.081,2,15.903,11,121,2026-08-05,30
24,24,165,3.1144,162,6.1155,170.903,-5.903,-0.459,15,15.255,8,109,2026-07-31,21
25,25,174,3.2843,172,6.493,170.903,3.097,0.241,10,14.193,10,76,2026-08-02,12
26,26,158,2.9823,156,5.889,170.903,-12.903,-1.003,13,15.961,11,85,2026-08-01,27
27,27,160,3.02,156,5.889,170.903,-10.903,-0.848,36,15.806,11,102,2026-07-24,25
28,28,184,3.473,182,6.8705,170.903,13.097,1.018,4,13.558,9,67,2026-08-04,6
29,29,192,3.624,186,7.0215,170.903,21.097,1.64,13,13.243,11,56,2026-08-01,2
30,30,164,3.0955,163,6.1533,170.903,-6.903,-0.537,8,15.29,10.0,101,2026-08-03,23
31,31,168,3.171,165,6.2288,170.903,-2.903,-0.226,15,14.994,11.0,70,2026-07-31,16
