game_code,game,rule,order_requirement,rambolito_or_perm,selected_start_date,selected_end_date,draw_count,number_observations,even_occurrences,odd_occurrences,even_occurrence_pct,odd_occurrence_pct,average_draw_sum,median_draw_sum,draw_sum_q1,draw_sum_q3,theoretical_outcomes,theoretical_odds,candidate_seed,candidate_count
2DL,2D Lotto,Choose 2 positional values from 1-31; exact order; repeats allowed.,Exact order,Rambolito,2023-12-23,2026-08-05,2649,5298,2527,2771,47.6972,52.3028,31.999,32,23.0,41.0,961,1 in 961,20260806,10
3DL,3D Lotto,Choose 3 positional values from 0-9; exact order; repeats allowed.,Exact order,Rambolito,2023-12-23,2026-08-05,2487,7461,3768,3693,50.5026,49.4974,13.382,13,10.0,17.0,1000,"1 in 1,000",20260806,10
4DL,4D Lotto,Choose 4 positional values from 0-9; exact order; repeats allowed.,Exact order,Rambolito/PERM,2023-12-27,2026-08-05,395,1580,785,795,49.6835,50.3165,17.962,18,14.0,22.0,10000,"1 in 10,000",20260806,10
6DL,6D Lotto,Choose 6 positional values from 0-9; exact order; repeats allowed.,Exact order,Not listed,2023-12-23,2026-08-04,398,2388,1215,1173,50.8794,49.1206,26.641,26.5,22.0,31.0,1000000,"1 in 1,000,000",20260806,10
LOTTO42,Lotto 6/42,Choose 6 unique numbers from 1-42; ticket order does not matter.,Any order,Not listed,2023-12-23,2026-08-04,397,2382,1175,1207,49.3283,50.6717,130.34,132,110.0,150.0,5245786,"1 in 5,245,786",20260806,10
ML45,Mega Lotto 6/45,Choose 6 unique numbers from 1-45; ticket order does not matter.,Any order,Not listed,2023-12-27,2026-08-05,396,2376,1139,1237,47.9377,52.0623,137.179,137.0,112.0,160.25,8145060,"1 in 8,145,060",20260806,10
SL49,Super Lotto 6/49,Choose 6 unique numbers from 1-49; ticket order does not matter.,Any order,Not listed,2023-12-24,2026-08-04,398,2388,1190,1198,49.8325,50.1675,150.603,151.0,127.25,174.0,13983816,"1 in 13,983,816",20260806,10
GL55,Grand Lotto 6/55,Choose 6 unique numbers from 1-55; ticket order does not matter.,Any order,Not listed,2023-12-23,2026-08-05,398,2388,1160,1228,48.5762,51.4238,172.166,170.0,143.25,198.75,28989675,"1 in 28,989,675",20260806,10
UL58,Ultra Lotto 6/58,Choose 6 unique numbers from 1-58; ticket order does not matter.,Any order,Not listed,2023-12-24,2026-08-04,398,2388,1194,1194,50.0,50.0,179.653,180.0,156.0,205.0,40475358,"1 in 40,475,358",20260806,10
