pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.0344
1E-5O,1,5,2,40.0,8.1461
2E-4O,2,4,1,20.0,23.9592
3E-3O,3,3,1,20.0,33.7204
4E-2O,4,2,1,20.0,23.9592
5E-1O,5,1,0,0.0,8.1461
6E-0O,6,0,0,0.0,1.0344
