signature,draw_count,observed_pct
O-O-E-E,35,8.8608
E-E-O-O,33,8.3544
E-E-E-O,28,7.0886
O-O-O-E,27,6.8354
E-E-E-E,25,6.3291
O-E-O-E,25,6.3291
O-E-O-O,25,6.3291
O-O-E-O,24,6.0759
E-O-O-O,23,5.8228
O-E-E-O,23,5.8228
O-O-O-O,23,5.8228
E-E-O-E,22,5.5696
E-O-E-E,22,5.5696
E-O-O-E,22,5.5696
E-O-E-O,20,5.0633
O-E-E-E,18,4.557
