position,number,numeric_value,count,rate_pct,expected_count
1,0,0,41,10.3797,39.5
1,1,1,37,9.3671,39.5
1,2,2,42,10.6329,39.5
1,3,3,37,9.3671,39.5
1,4,4,35,8.8608,39.5
1,5,5,45,11.3924,39.5
1,6,6,40,10.1266,39.5
1,7,7,41,10.3797,39.5
1,8,8,37,9.3671,39.5
1,9,9,40,10.1266,39.5
2,0,0,42,10.6329,39.5
2,1,1,44,11.1392,39.5
2,2,2,34,8.6076,39.5
2,3,3,34,8.6076,39.5
2,4,4,50,12.6582,39.5
2,5,5,33,8.3544,39.5
2,6,6,34,8.6076,39.5
2,7,7,45,11.3924,39.5
2,8,8,39,9.8734,39.5
2,9,9,40,10.1266,39.5
3,0,0,47,11.8987,39.5
3,1,1,33,8.3544,39.5
3,2,2,42,10.6329,39.5
3,3,3,46,11.6456,39.5
3,4,4,31,7.8481,39.5
3,5,5,44,11.1392,39.5
3,6,6,37,9.3671,39.5
3,7,7,43,10.8861,39.5
3,8,8,38,9.6203,39.5
3,9,9,34,8.6076,39.5
4,0,0,33,8.3544,39.5
4,1,1,45,11.3924,39.5
4,2,2,37,9.3671,39.5
4,3,3,34,8.6076,39.5
4,4,4,43,10.8861,39.5
4,5,5,38,9.6203,39.5
4,6,6,36,9.1139,39.5
4,7,7,50,12.6582,39.5
4,8,8,47,11.8987,39.5
4,9,9,32,8.1013,39.5
