pattern,even_count,odd_count,draw_count,observed_pct,theoretical_pct
0E-6O,0,6,0,0.0,1.2996
1E-5O,1,5,0,0.0,9.1535
2E-4O,2,4,0,0.0,24.7906
3E-3O,3,3,3,60.0,33.0542
4E-2O,4,2,1,20.0,22.8837
5E-1O,5,1,1,20.0,7.7974
6E-0O,6,0,0,0.0,1.0211
